gene_symbol	mechanism	basis	confidence	detail
EHBP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.30745, LOEUF=0.348)
EHD1	LoF	gnomad	medium	LoF-intolerant (pLI=0.98342, LOEUF=0.281)
EHMT1	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.072)
EIF1AX	LoF	gnomad	medium	LoF-intolerant (pLI=0.91015, LOEUF=0.386)
EIF2B4	LoF	gnomad	medium	LoF-intolerant (pLI=0.96117, LOEUF=0.33)
EIF2S1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97031, LOEUF=0.31)
EIF2S2	LoF	gnomad	medium	LoF-intolerant (pLI=0.95327, LOEUF=0.342)
EIF2S3	LoF	gnomad	medium	LoF-intolerant (pLI=0.96388, LOEUF=0.322)
EIF3A	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.131)
EIF3B	LoF	gnomad	medium	LoF-intolerant (pLI=1.0, LOEUF=0.067)
EIF3D	LoF	gnomad	medium	LoF-intolerant (pLI=0.99983, LOEUF=0.187)
EIF3F	LoF	gnomad	medium	LoF-intolerant (pLI=0.97044, LOEUF=0.31)
EIF3G	LoF	gnomad	medium	LoF-intolerant (pLI=0.98546, LOEUF=0.275)
EIF3I	LoF	gnomad	medium	LoF-intolerant (pLI=0.9493, LOEUF=0.346)
